iter	Passed	Remaining
734	1211	436
735	1213	435
736	1214	433
737	1216	431
738	1218	430
739	1220	428
740	1222	427
741	1225	426
742	1228	425
743	1232	423
744	1234	422
745	1237	421
746	1238	419
747	1239	417
748	1240	415
749	1241	413
750	1243	412
751	1245	410
752	1246	408
753	1247	406
754	1248	405
755	1249	403
756	1250	401
757	1251	399
758	1252	397
759	1254	396
760	1255	394
761	1257	392
762	1258	390
763	1259	389
764	1260	387
765	1262	385
766	1263	383
767	1265	382
768	1266	380
769	1269	379
770	1272	377
771	1275	376
772	1277	375
773	1279	373
774	1281	372
775	1283	370
776	1285	368
777	1287	367
778	1289	365
779	1291	364
780	1293	362
781	1294	360
782	1296	359
783	1298	357
784	1299	355
785	1301	354
786	1302	352
787	1304	350
788	1305	349
789	1306	347
790	1308	345
791	1309	343
792	1310	342
793	1312	340
794	1314	338
795	1315	337
796	1316	335
797	1318	333
798	1319	331
799	1320	330
800	1322	328
801	1324	326
802	1325	325
803	1327	323
804	1328	321
805	1330	320
806	1332	318
807	1333	316
808	1334	315
809	1336	313
810	1339	312
811	1341	310
812	1343	309
813	1346	307
814	1348	306
815	1351	304
816	1353	303
817	1355	301
818	1357	300
819	1360	298
820	1363	297
821	1365	295
822	1368	294
823	1370	292
824	1372	291
825	1375	289
826	1377	288
827	1379	286
828	1381	284
829	1382	283
830	1384	281
831	1387	280
832	1389	278
833	1392	277
834	1394	275
835	1397	274
836	1399	272
837	1401	271
838	1404	269
839	1407	268
840	1409	266
841	1412	264
842	1414	263
843	1417	262
844	1420	260
845	1423	259
846	1426	257
847	1428	256
848	1431	254
849	1434	253
850	1437	251
851	1439	250
852	1441	248
853	1443	246
854	1446	245
855	1448	243
856	1451	242
857	1454	240
858	1456	239
859	1458	237
860	1461	235
861	1463	234
862	1465	232
863	1467	230
864	1468	229
865	1469	227
866	1471	225
867	1472	223
868	1474	222
869	1475	220
870	1476	218
871	1478	217
872	1480	215
873	1481	213
874	1482	211
875	1483	210
876	1485	208
877	1486	206
878	1487	204
879	1488	203
880	1490	201
881	1491	199
882	1493	197
883	1494	196
884	1496	194
885	1497	192
886	1498	190
887	1500	189
888	1501	187
889	1502	185
890	1504	184
891	1505	182
892	1507	180
893	1509	178
894	1510	177
895	1512	175
896	1513	173
897	1515	172
898	1517	170
899	1519	168
900	1522	167
901	1524	165
902	1526	164
903	1529	162
904	1532	160
905	1535	159
906	1538	157
907	1540	156
908	1543	154
909	1545	152
910	1547	151
911	1549	149
912	1551	147
913	1554	146
914	1557	144
915	1559	143
916	1562	141
917	1564	139
918	1567	138
919	1570	136
920	1573	134
921	1576	133
922	1578	131
923	1581	130
924	1584	128
925	1587	126
926	1590	125
927	1592	123
928	1593	121
929	1595	120
930	1598	118
931	1602	116
932	1604	115
933	1606	113
934	1608	111
935	1611	110
936	1614	108
937	1617	106
938	1620	105
939	1622	103
940	1624	101
941	1627	100
942	1629	98
943	1631	96
944	1632	95
945	1634	93
946	1635	91
947	1637	89
948	1638	88
949	1639	86
950	1641	84
951	1643	82
952	1644	81
953	1645	79
954	1647	77
955	1648	75
956	1649	74
957	1650	72
958	1651	70
959	1652	68
960	1653	67
961	1654	65
962	1656	63
963	1657	61
964	1659	60
965	1660	58
966	1661	56
967	1663	54
968	1664	53
969	1665	51
970	1666	49
971	1668	48
972	1669	46
973	1670	44
974	1673	42
975	1675	41
976	1677	39
977	1678	37
978	1680	36
979	1681	34
980	1682	32
981	1683	30
982	1684	29
983	1687	27
984	1689	25
985	1691	24
986	1693	22
987	1695	20
988	1697	18
989	1699	17
990	1701	15
991	1703	13
992	1704	12
993	1705	10
994	1706	8
995	1707	6
996	1709	5
997	1710	3
998	1711	1
999	1712	0
